ASV_identifier	Taxonomy	C14iexposed071717L_S1	C14jexposed071717L_S2	C14kexposed071717L_S3	C17abaseline070217H_S17	C17aexposed072817H_S4	C17bexposed072817H_S5	C17cexposed072817H_S6	C17dbaseline070217H_S18	C17eexposed072817H_S7	C18abaseline070217M_S19	C18cbaseline070217M_S15	C18cexposed072817M_S8	C18dexposed072817M_S9	C18eexposed072817M_S10	C20abaseline070217M_S21	C20bbaseline070217M_S11	C20bexposed072817M_S12	C20cexposed072817M_S13	C20dbaseline070217M_S20	C20dexposed072817M_S14	C20eexposed072817M_S16	C21abaseline070217H_S22	C21cbaseline070217H_S24	C21cexposed072817H_S23	C21dbaseline070217H_S25	C22abaseline070217_S27	C22cexposed072817H_S26	C22ebaseline070217H_S28	C22eexposed072817H_S29	C24aexposed072817L_S30	C24bexposed072817L_S32	C24cbaseline070217L_S34	C24dbaseline070217L_S36	C24dexposed072817L_S33	C24eexposed072817L_S35	C28bexposed071717M_S37	C28cbaseline070717M_S38	C28cexposed071717M_S39	C28fbaseline070717M_S40	C28hexposed071717M_S41	C28ibaseline070717M_S42	C28iexposed071717M_S43	C28jexposed071717M_S44	C29bbaseline070717M_S45	C29cexposed071717M_S46	C29dexposed071717M_S47	C29ebaseline070717M_S51	C29eexposed071717M_S48	C29fexposed071717M_S49	C29hbaseline070717M_S31	C29iexposed071717M_S50	C30aexposed071717L_S52	C30bexposed071717L_S53	C30fexposed071717L_S57	C30gbaseline070717_S59	C30gexposed071717L_S56	C30hexposed071717L_S58	C30ibaseline070717L_S54	C30jbaseline070717_S60	C30jexposed071717L_S55	neg_S106	P10dbaseline062217H_S61	P10dexposed071717H_S62	P10ebaseline062217H_S63	P10eexposed071717H_S64	P10hexposed071717_S66	P10ibaseline062217H_S65	P11bbaseline062217H_S67	P11bexposed071717H_S68	P11eexposed071717_S71	P11hbaseline062217_S69	P11hexposed071717_S70	P12fbaseline062217H_S76	P12fexposed071717H_S77	P12gbaseline062217_S74	P12gexposed071717_S75	P12ibaseline062217_S72	P12iexposed071717_S73	P7cbaseline062217H_S78	P7cexposed071717H_S79	P7hbaseline062217H_S82	P7hexposed071717H_S83	P7ibaseline062217_S80	P7iexposed071717_S81	P8bbaseline062217H_S84	P8bexposed071717H_S85	P8dbaseline062217H_S86	P8dexposed071717H_S87	P8gbaseline062217_S88	P8gexposed071717_S89	P9ebaseline062217_S90	P9eexposed071727_S91	P9gbaseline062217_S92	P9gexposed071717_S93	P9ibaseline062217_S94
186680024e48626f8f465c2bf0fe742b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	9	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	13	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	15	21	25	0	0	15	0	36	0	57	14	44	0	0	0	0	0	455	113	0	0	0	10	30	40	0	0	0	31	0	0	0	11	0
e6af9bdccdd4916435b9407afff0aaa4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ad652272b9874d7c85e2fb56a4367a84	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1863975e5fc361e26995bb1de91fa109	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__uncultured;s__marine metagenome	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
423939231695191d7b153381618b5010	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7db0b658c7fa6a545c1cdcfbbdb3ae9	d__Bacteria;p__WPS-2;c__hydrothermal vent metagenome;o__hydrothermal vent metagenome;f__hydrothermal vent metagenome;g__hydrothermal vent metagenome;s__hydrothermal vent metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15c8452d5c98f431a5aa0afd64d5ee3d	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;s__uncultured bacterium	416	8	0	0	0	23605	0	0	29	0	0	0	0	2679	0	0	29	0	0	0	8	0	21	0	0	0	0	27	0	0	17	0	0	0	0	0	0	18	39	95	31	0	0	0	0	0	0	0	0	0	17	0	0	12	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	3347	124	0	0	4	0	0	14	15	0	0	0	0	0	0	0	0
b96e63bc1ed5e78f2d946fe6409dcc46	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4 marine group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4e63dcd96c75e602a9d4bee08c50f745	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae;g__Terasakiella;s__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aa3409cbd40a994076c5341bb5c75fa3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
